>>>> IterationI 0
Independent Set 0 :  LUT
Site 18 | (71, 157, 2) -> (72, 157, 2) | Instance:0
Site 19 | (72, 156, 0) -> (72, 162, 2) | Instance:0
Site 20 | (72, 156, 2) -> (72, 161, 0) | Instance:0
Site 21 | (75, 158, 0) -> (75, 159, 0) | Instance:0
Site 22 | (75, 158, 2) -> (71, 158, 0) | Instance:0
Site 23 | (74, 159, 0) -> (71, 161, 0) | Instance:0
Site 24 | (74, 159, 2) -> (72, 156, 0) | Instance:0
Site 25 | (72, 161, 0) -> (71, 161, 2) | Instance:0
Site 26 | (72, 161, 2) -> (72, 161, 2) | Instance:0
Site 27 | (71, 160, 0) -> (69, 159, 0) | Instance:0
Site 28 | (71, 160, 2) -> (71, 156, 0) | Instance:0
Site 29 | (69, 158, 0) -> (72, 156, 2) | Instance:0
Site 30 | (69, 158, 2) -> (72, 159, 0) | Instance:0
Site 31 | (71, 156, 0) -> (69, 159, 2) | Instance:0
Site 32 | (71, 156, 2) -> (72, 160, 2) | Instance:0
Site 33 | (72, 155, 0) -> (72, 158, 0) | Instance:0
Site 34 | (72, 155, 2) -> (71, 159, 2) | Instance:0
Site 35 | (74, 157, 0) -> (75, 158, 0) | Instance:0
Site 36 | (74, 157, 2) -> (72, 155, 2) | Instance:0
Site 37 | (76, 158, 0) -> (71, 158, 2) | Instance:0
Site 38 | (76, 158, 2) -> (74, 157, 2) | Instance:0
Site 39 | (75, 159, 0) -> (72, 159, 4) | Instance:0
Site 40 | (75, 159, 2) -> (74, 159, 0) | Instance:0
Site 41 | (74, 160, 0) -> (74, 159, 2) | Instance:0
Site 42 | (74, 160, 2) -> (69, 158, 2) | Instance:0
Site 43 | (72, 162, 0) -> (71, 157, 0) | Instance:0
Site 44 | (72, 162, 2) -> (76, 158, 0) | Instance:0
Site 45 | (71, 161, 0) -> (71, 157, 2) | Instance:0
Site 46 | (71, 161, 2) -> (72, 162, 0) | Instance:0
Site 47 | (69, 159, 0) -> (75, 158, 2) | Instance:0
Site 48 | (69, 159, 2) -> (74, 160, 2) | Instance:0
Total Cost: -9
Independent Set 4 :  LUT
Site 0 | (77, 124, 4) -> (77, 127, 6) | Instance:0
Site 1 | (77, 124, 6) -> (76, 126, 4) | Instance:0
Site 2 | (77, 125, 4) -> (74, 125, 2) | Instance:0
Site 3 | (77, 125, 6) -> (76, 123, 2) | Instance:0
Site 4 | (76, 124, 0) -> (77, 124, 6) | Instance:0
Site 5 | (76, 124, 2) -> (80, 125, 6) | Instance:0
